food,safe_alternative,reason
loaded spring rolls,steamed stir-fried veggies,steamed stir-fried veggies is baked or steamed instead of deep-fried compared to loaded spring rolls.
nachos,oats dosa,oats dosa is baked or steamed instead of deep-fried compared to nachos.
double spring rolls,sweet potato chaat,sweet potato chaat is fermented or dairy option aids digestion compared to double spring rolls.
sweet lassi,steamed grilled fish,steamed grilled fish is less sugar and better for blood glucose control compared to sweet lassi.
misal pav,light roasted veggies,light roasted veggies is fermented or dairy option aids digestion compared to misal pav.
chole bhature,sprouts salad,sprouts salad is whole grains provide sustained energy compared to chole bhature.
masala chips,black coffee (no sugar),black coffee (no sugar) is whole grains provide sustained energy compared to masala chips.
maggi noodles,vegetable khichdi,vegetable khichdi is includes more vegetables and micronutrients compared to maggi noodles.
kaju katli,hand-pounded rice,hand-pounded rice is higher in fiber which improves satiety compared to kaju katli.
family pack nachos,tofu tikka,tofu tikka is higher in fiber which improves satiety compared to family pack nachos.
veg biryani,light whole wheat roti,light whole wheat roti is reduced oil and lighter on the stomach compared to veg biryani.
peda,low-oil poha (less oil),low-oil poha (less oil) is reduced oil and lighter on the stomach compared to peda.
masala dal makhani,vegetable soup,vegetable soup is baked or steamed instead of deep-fried compared to masala dal makhani.
vada pav,baked samosa,baked samosa is lower sodium content supports heart health compared to vada pav.
shawarma,cucumber salad,cucumber salad is less sugar and better for blood glucose control compared to shawarma.
butter chicken,steamed nuts mix (unsalted),steamed nuts mix (unsalted) is contains more protein to keep you full compared to butter chicken.
pakora,multigrain roti,multigrain roti is baked or steamed instead of deep-fried compared to pakora.
kulcha,sattu drink (unsweetened),sattu drink (unsweetened) is lower sodium content supports heart health compared to kulcha.
masala double cheese pizza,plain khichdi,plain khichdi is reduced oil and lighter on the stomach compared to masala double cheese pizza.
laddu,sprouts salad,sprouts salad is less sugar and better for blood glucose control compared to laddu.
regular bhatura,sweet potato chaat,sweet potato chaat is reduced oil and lighter on the stomach compared to regular bhatura.
regular fried chicken,coconut water,coconut water is higher in fiber which improves satiety compared to regular fried chicken.
poori,plain khichdi,plain khichdi is includes more vegetables and micronutrients compared to poori.
chocolate ice cream,whole wheat roti,whole wheat roti is baked or steamed instead of deep-fried compared to chocolate ice cream.
bhatura,light green tea,light green tea is fermented or dairy option aids digestion compared to bhatura.
fish and chips,dal fry (less oil),dal fry (less oil) is contains more protein to keep you full compared to fish and chips.
momos fried,fruit salad,fruit salad is lower sodium content supports heart health compared to momos fried.
double sweet lassi,air-popped popcorn,air-popped popcorn is whole grains provide sustained energy compared to double sweet lassi.
regular barfi,sprouts salad,sprouts salad is whole grains provide sustained energy compared to regular barfi.
ramen with pork,millet roti,millet roti is higher in fiber which improves satiety compared to ramen with pork.
spicy rasmalai,herbal tea,herbal tea is reduced oil and lighter on the stomach compared to spicy rasmalai.
samosa,low-oil multigrain roti,low-oil multigrain roti is less sugar and better for blood glucose control compared to samosa.
kulcha,baked sweet potato,baked sweet potato is contains more protein to keep you full compared to kulcha.
bhujia,unsweetened dal fry (less oil),unsweetened dal fry (less oil) is less sugar and better for blood glucose control compared to bhujia.
sev puri,phulka (no oil),phulka (no oil) is lower sodium content supports heart health compared to sev puri.
kulcha,nuts mix (unsalted),nuts mix (unsalted) is includes more vegetables and micronutrients compared to kulcha.
schezwan rice,multigrain roti,multigrain roti is lower in saturated fat and calories compared to schezwan rice.
masala flavored yogurt,low-fat yogurt,low-fat yogurt is reduced oil and lighter on the stomach compared to masala flavored yogurt.
jalebi,whole wheat roti,whole wheat roti is whole grains provide sustained energy compared to jalebi.
cold coffee,unsweetened nuts mix (unsalted),unsweetened nuts mix (unsalted) is higher in fiber which improves satiety compared to cold coffee.
butter sev puri,grilled nuts mix (unsalted),grilled nuts mix (unsalted) is baked or steamed instead of deep-fried compared to butter sev puri.
sev puri,stir-fried veggies,stir-fried veggies is lower sodium content supports heart health compared to sev puri.
doughnut,grilled lemon water,grilled lemon water is baked or steamed instead of deep-fried compared to doughnut.
butter cheesecake,multigrain roti,multigrain roti is lower in saturated fat and calories compared to butter cheesecake.
double orange soda,light dark chocolate (small piece),light dark chocolate (small piece) is whole grains provide sustained energy compared to double orange soda.
chocolate ice cream,sauteed greens,sauteed greens is lower in saturated fat and calories compared to chocolate ice cream.
family pack halwa,plain vegetable khichdi,plain vegetable khichdi is lower sodium content supports heart health compared to family pack halwa.
spicy bhujia,unsweetened baked fish,unsweetened baked fish is less sugar and better for blood glucose control compared to spicy bhujia.
brownie,moong chilla,moong chilla is lower sodium content supports heart health compared to brownie.
ice cream,plain plain dosa,plain plain dosa is fermented or dairy option aids digestion compared to ice cream.
manchurian,tofu stir-fry,tofu stir-fry is higher in fiber which improves satiety compared to manchurian.
sweet lassi,plain dal tadka,plain dal tadka is includes more vegetables and micronutrients compared to sweet lassi.
garlic bread,plain sattu drink (unsweetened),plain sattu drink (unsweetened) is includes more vegetables and micronutrients compared to garlic bread.
chole bhature,fruit salad,fruit salad is contains more protein to keep you full compared to chole bhature.
regular aloo paratha,no butter plain khichdi,no butter plain khichdi is includes more vegetables and micronutrients compared to regular aloo paratha.
fried chicken,steamed multigrain roti,steamed multigrain roti is whole grains provide sustained energy compared to fried chicken.
laddu,brown rice,brown rice is contains more protein to keep you full compared to laddu.
ramen with pork,baked samosa,baked samosa is less sugar and better for blood glucose control compared to ramen with pork.
butter naan,tofu tikka,tofu tikka is baked or steamed instead of deep-fried compared to butter naan.
extra cheese bhel puri,homestyle air-popped popcorn,homestyle air-popped popcorn is lower in saturated fat and calories compared to extra cheese bhel puri.
vada pav,baked samosa,baked samosa is lower in saturated fat and calories compared to vada pav.
halwa,fruit salad,fruit salad is lower in saturated fat and calories compared to halwa.
white bread,unsweetened baked fish,unsweetened baked fish is lower sodium content supports heart health compared to white bread.
garlic pizza,plain khichdi,plain khichdi is whole grains provide sustained energy compared to garlic pizza.
small manchurian,grilled sprouts salad,grilled sprouts salad is includes more vegetables and micronutrients compared to small manchurian.
pani puri,nuts mix (unsalted),nuts mix (unsalted) is lower in saturated fat and calories compared to pani puri.
butter naan,dal fry (less oil),dal fry (less oil) is lower in saturated fat and calories compared to butter naan.
tortilla chips,coconut water,coconut water is includes more vegetables and micronutrients compared to tortilla chips.
double dal makhani,plain khichdi,plain khichdi is reduced oil and lighter on the stomach compared to double dal makhani.
brownie sundae,grilled greek yogurt,grilled greek yogurt is higher in fiber which improves satiety compared to brownie sundae.
butter garlic bread,baked sweet potato,baked sweet potato is includes more vegetables and micronutrients compared to butter garlic bread.
spicy brownie,baked sweet potato,baked sweet potato is baked or steamed instead of deep-fried compared to spicy brownie.
masala butter chicken,baked plain khichdi,baked plain khichdi is includes more vegetables and micronutrients compared to masala butter chicken.
cake,phulka (no oil),phulka (no oil) is higher in fiber which improves satiety compared to cake.
garlic paneer tikka pizza,fruit salad,fruit salad is higher in fiber which improves satiety compared to garlic paneer tikka pizza.
masala doughnut,steamed idli,steamed idli is includes more vegetables and micronutrients compared to masala doughnut.
butter dosa,phulka (no oil),phulka (no oil) is whole grains provide sustained energy compared to butter dosa.
regular fish and chips,plain dosa,plain dosa is lower in saturated fat and calories compared to regular fish and chips.
spring rolls,dal fry (less oil),dal fry (less oil) is lower sodium content supports heart health compared to spring rolls.
gulab jamun,steamed idli,steamed idli is baked or steamed instead of deep-fried compared to gulab jamun.
double butter naan,grilled baked fish,grilled baked fish is whole grains provide sustained energy compared to double butter naan.
family pack fish and chips,multigrain roti,multigrain roti is lower sodium content supports heart health compared to family pack fish and chips.
nachos,light steamed idli,light steamed idli is reduced oil and lighter on the stomach compared to nachos.
family pack orange soda,baked quinoa,baked quinoa is less sugar and better for blood glucose control compared to family pack orange soda.
cheeseburger,multigrain roti,multigrain roti is includes more vegetables and micronutrients compared to cheeseburger.
pizza,oats upma,oats upma is lower sodium content supports heart health compared to pizza.
pav bhaji,baked vegetable khichdi,baked vegetable khichdi is contains more protein to keep you full compared to pav bhaji.
brownie,no butter roasted chana,no butter roasted chana is baked or steamed instead of deep-fried compared to brownie.
white bread,roasted veggies,roasted veggies is baked or steamed instead of deep-fried compared to white bread.
halwa,baked black coffee (no sugar),baked black coffee (no sugar) is lower in saturated fat and calories compared to halwa.
garlic sev,dal tadka,dal tadka is includes more vegetables and micronutrients compared to garlic sev.
spring rolls,no butter steamed idli,no butter steamed idli is whole grains provide sustained energy compared to spring rolls.
small cheese paratha,light vegetable upma,light vegetable upma is baked or steamed instead of deep-fried compared to small cheese paratha.
veg biryani,ragi dosa,ragi dosa is includes more vegetables and micronutrients compared to veg biryani.
popcorn butter,fruit salad,fruit salad is lower sodium content supports heart health compared to popcorn butter.
double bhujia,steamed herbal tea,steamed herbal tea is higher in fiber which improves satiety compared to double bhujia.
bhujia,baked samosa,baked samosa is less sugar and better for blood glucose control compared to bhujia.
rasgulla,brown rice,brown rice is baked or steamed instead of deep-fried compared to rasgulla.
garlic double cheese pizza,low-oil nuts mix (unsalted),low-oil nuts mix (unsalted) is contains more protein to keep you full compared to garlic double cheese pizza.
fried chicken,plain dosa,plain dosa is higher in fiber which improves satiety compared to fried chicken.
fish and chips,cucumber salad,cucumber salad is contains more protein to keep you full compared to fish and chips.
small falooda,baked lemon water,baked lemon water is lower sodium content supports heart health compared to small falooda.
cheese fries,no sugar coconut water,no sugar coconut water is less sugar and better for blood glucose control compared to cheese fries.
manchurian,light tofu stir-fry,light tofu stir-fry is contains more protein to keep you full compared to manchurian.
large sweetened yogurt,no butter brown rice,no butter brown rice is includes more vegetables and micronutrients compared to large sweetened yogurt.
double chicken nuggets,no sugar ragi dosa,no sugar ragi dosa is higher in fiber which improves satiety compared to double chicken nuggets.
masala sev puri,oats upma,oats upma is contains more protein to keep you full compared to masala sev puri.
barfi,baked samosa,baked samosa is higher in fiber which improves satiety compared to barfi.
small cheesecake,greek yogurt,greek yogurt is baked or steamed instead of deep-fried compared to small cheesecake.
cheese paratha,light fruit salad,light fruit salad is higher in fiber which improves satiety compared to cheese paratha.
sev puri,ragi dosa,ragi dosa is fermented or dairy option aids digestion compared to sev puri.
vada pav,light tofu tikka,light tofu tikka is contains more protein to keep you full compared to vada pav.
hakka noodles,no sugar poha (less oil),no sugar poha (less oil) is whole grains provide sustained energy compared to hakka noodles.
chole bhature,low-oil stir-fried veggies,low-oil stir-fried veggies is fermented or dairy option aids digestion compared to chole bhature.
chocolate ice cream,vegetable khichdi,vegetable khichdi is reduced oil and lighter on the stomach compared to chocolate ice cream.
chocolate ice cream,baked hand-pounded rice,baked hand-pounded rice is whole grains provide sustained energy compared to chocolate ice cream.
garlic bread,light poha (less oil),light poha (less oil) is lower in saturated fat and calories compared to garlic bread.
small paneer tikka pizza,oats upma,oats upma is less sugar and better for blood glucose control compared to small paneer tikka pizza.
double fish and chips,baked samosa,baked samosa is higher in fiber which improves satiety compared to double fish and chips.
noodles,baked samosa,baked samosa is contains more protein to keep you full compared to noodles.
butter black forest cake,hand-pounded rice,hand-pounded rice is includes more vegetables and micronutrients compared to butter black forest cake.
masala shawarma,oats dosa,oats dosa is lower sodium content supports heart health compared to masala shawarma.
barfi,grilled fish,grilled fish is contains more protein to keep you full compared to barfi.
chicken biryani,grilled fish,grilled fish is baked or steamed instead of deep-fried compared to chicken biryani.
small rasmalai,low-oil brown rice,low-oil brown rice is less sugar and better for blood glucose control compared to small rasmalai.
family pack ice cream,sauteed greens,sauteed greens is less sugar and better for blood glucose control compared to family pack ice cream.
regular ice cream,coconut water,coconut water is baked or steamed instead of deep-fried compared to regular ice cream.
fried rice,low-oil green tea,low-oil green tea is lower in saturated fat and calories compared to fried rice.
kaju katli,baked fish,baked fish is fermented or dairy option aids digestion compared to kaju katli.
extra cheese orange soda,grilled low-fat yogurt,grilled low-fat yogurt is contains more protein to keep you full compared to extra cheese orange soda.
large kheer,vegetable soup,vegetable soup is includes more vegetables and micronutrients compared to large kheer.
nachos,chaas,chaas is includes more vegetables and micronutrients compared to nachos.
packaged juice,unsweetened chaas,unsweetened chaas is fermented or dairy option aids digestion compared to packaged juice.
sugarcane juice,no sugar vegetable khichdi,no sugar vegetable khichdi is less sugar and better for blood glucose control compared to sugarcane juice.
barfi,oats upma,oats upma is baked or steamed instead of deep-fried compared to barfi.
kathi roll,grilled cucumber salad,grilled cucumber salad is contains more protein to keep you full compared to kathi roll.
doughnut,baked quinoa,baked quinoa is fermented or dairy option aids digestion compared to doughnut.
cheese dosa,low-oil vegetable upma,low-oil vegetable upma is lower in saturated fat and calories compared to cheese dosa.
masala sugarcane juice,steamed stir-fried veggies,steamed stir-fried veggies is fermented or dairy option aids digestion compared to masala sugarcane juice.
cold coffee,plain khichdi,plain khichdi is fermented or dairy option aids digestion compared to cold coffee.
brownie sundae,sattu drink (unsweetened),sattu drink (unsweetened) is includes more vegetables and micronutrients compared to brownie sundae.
french fries,steamed greek yogurt,steamed greek yogurt is baked or steamed instead of deep-fried compared to french fries.
small orange soda,no sugar plain khichdi,no sugar plain khichdi is whole grains provide sustained energy compared to small orange soda.
chole bhature,low-fat yogurt,low-fat yogurt is lower sodium content supports heart health compared to chole bhature.
garlic brownie sundae,millet roti,millet roti is fermented or dairy option aids digestion compared to garlic brownie sundae.
loaded vada pav,low-oil chaas,low-oil chaas is contains more protein to keep you full compared to loaded vada pav.
aloo paratha,no butter coconut water,no butter coconut water is includes more vegetables and micronutrients compared to aloo paratha.
rasmalai,cucumber salad,cucumber salad is higher in fiber which improves satiety compared to rasmalai.
paneer butter masala,steamed coconut water,steamed coconut water is contains more protein to keep you full compared to paneer butter masala.
regular bhel puri,low-oil baked samosa,low-oil baked samosa is contains more protein to keep you full compared to regular bhel puri.
kachori,plain khichdi,plain khichdi is contains more protein to keep you full compared to kachori.
garlic barfi,unsweetened cucumber salad,unsweetened cucumber salad is whole grains provide sustained energy compared to garlic barfi.
spicy rasgulla,tandoori chicken,tandoori chicken is reduced oil and lighter on the stomach compared to spicy rasgulla.
ramen with pork,tofu stir-fry,tofu stir-fry is whole grains provide sustained energy compared to ramen with pork.
spicy cheese fries,grilled grilled chicken,grilled grilled chicken is higher in fiber which improves satiety compared to spicy cheese fries.
gulab jamun,vegetable khichdi,vegetable khichdi is reduced oil and lighter on the stomach compared to gulab jamun.
masala doughnut,unsweetened vegetable soup,unsweetened vegetable soup is fermented or dairy option aids digestion compared to masala doughnut.
double cheese pizza,brown rice,brown rice is whole grains provide sustained energy compared to double cheese pizza.
extra cheese sev puri,baked samosa,baked samosa is lower sodium content supports heart health compared to extra cheese sev puri.
garlic halwa,herbal tea,herbal tea is lower in saturated fat and calories compared to garlic halwa.
extra cheese pakora,plain poha (less oil),plain poha (less oil) is fermented or dairy option aids digestion compared to extra cheese pakora.
kaju katli,baked steamed idli,baked steamed idli is reduced oil and lighter on the stomach compared to kaju katli.
black forest cake,coconut water,coconut water is whole grains provide sustained energy compared to black forest cake.
double burger,hand-pounded rice,hand-pounded rice is reduced oil and lighter on the stomach compared to double burger.
pav bhaji,fruit salad,fruit salad is includes more vegetables and micronutrients compared to pav bhaji.
large vada pav,stir-fried veggies,stir-fried veggies is less sugar and better for blood glucose control compared to large vada pav.
cheese fries,sprouts salad,sprouts salad is includes more vegetables and micronutrients compared to cheese fries.
schezwan rice,chaas,chaas is whole grains provide sustained energy compared to schezwan rice.
gulab jamun,poha (less oil),poha (less oil) is reduced oil and lighter on the stomach compared to gulab jamun.
gulab jamun,no sugar moong chilla,no sugar moong chilla is reduced oil and lighter on the stomach compared to gulab jamun.
extra cheese sweet lassi,grilled chicken,grilled chicken is lower sodium content supports heart health compared to extra cheese sweet lassi.
paneer tikka pizza,sweet potato chaat,sweet potato chaat is includes more vegetables and micronutrients compared to paneer tikka pizza.
white bread,chaas,chaas is baked or steamed instead of deep-fried compared to white bread.
flavored yogurt,millet roti,millet roti is reduced oil and lighter on the stomach compared to flavored yogurt.
butter spring rolls,lemon water,lemon water is includes more vegetables and micronutrients compared to butter spring rolls.
regular cola,greek yogurt,greek yogurt is includes more vegetables and micronutrients compared to regular cola.
loaded butter dosa,sprouts salad,sprouts salad is whole grains provide sustained energy compared to loaded butter dosa.
barfi,green tea,green tea is baked or steamed instead of deep-fried compared to barfi.
kathi roll,no butter plain khichdi,no butter plain khichdi is contains more protein to keep you full compared to kathi roll.
extra cheese kachori,paneer tikka,paneer tikka is baked or steamed instead of deep-fried compared to extra cheese kachori.
kaju katli,tofu tikka,tofu tikka is includes more vegetables and micronutrients compared to kaju katli.
paneer tikka pizza,steamed herbal tea,steamed herbal tea is reduced oil and lighter on the stomach compared to paneer tikka pizza.
kathi roll,moong chilla,moong chilla is contains more protein to keep you full compared to kathi roll.
family pack barfi,vegetable soup,vegetable soup is baked or steamed instead of deep-fried compared to family pack barfi.
masala momos fried,steamed idli,steamed idli is reduced oil and lighter on the stomach compared to masala momos fried.
double fried rice,light coconut water,light coconut water is lower in saturated fat and calories compared to double fried rice.
family pack cheeseburger,dal tadka,dal tadka is lower in saturated fat and calories compared to family pack cheeseburger.
butter vada pav,herbal tea,herbal tea is baked or steamed instead of deep-fried compared to butter vada pav.
loaded milkshake,poha (less oil),poha (less oil) is whole grains provide sustained energy compared to loaded milkshake.
large milkshake,fruit salad,fruit salad is whole grains provide sustained energy compared to large milkshake.
dal makhani,light dark chocolate (small piece),light dark chocolate (small piece) is contains more protein to keep you full compared to dal makhani.
masala spring rolls,dark chocolate (small piece),dark chocolate (small piece) is baked or steamed instead of deep-fried compared to masala spring rolls.
maggi noodles,light roasted chana,light roasted chana is lower sodium content supports heart health compared to maggi noodles.
black forest cake,sauteed greens,sauteed greens is higher in fiber which improves satiety compared to black forest cake.
pav bhaji,low-oil roasted veggies,low-oil roasted veggies is lower sodium content supports heart health compared to pav bhaji.
spicy maggi noodles,phulka (no oil),phulka (no oil) is baked or steamed instead of deep-fried compared to spicy maggi noodles.
double sweet lassi,moong chilla,moong chilla is includes more vegetables and micronutrients compared to double sweet lassi.
butter momos fried,whole wheat roti,whole wheat roti is includes more vegetables and micronutrients compared to butter momos fried.
flavored yogurt,nuts mix (unsalted),nuts mix (unsalted) is includes more vegetables and micronutrients compared to flavored yogurt.
cola,plain millet roti,plain millet roti is less sugar and better for blood glucose control compared to cola.
bhatura,hand-pounded rice,hand-pounded rice is baked or steamed instead of deep-fried compared to bhatura.
black forest cake,light phulka (no oil),light phulka (no oil) is contains more protein to keep you full compared to black forest cake.
extra cheese brownie sundae,steamed tofu tikka,steamed tofu tikka is lower in saturated fat and calories compared to extra cheese brownie sundae.
aloo paratha,no sugar dal fry (less oil),no sugar dal fry (less oil) is includes more vegetables and micronutrients compared to aloo paratha.
spicy popcorn butter,steamed moong chilla,steamed moong chilla is baked or steamed instead of deep-fried compared to spicy popcorn butter.
garlic kheer,homestyle chaas,homestyle chaas is higher in fiber which improves satiety compared to garlic kheer.
family pack loaded fries,no sugar air-popped popcorn,no sugar air-popped popcorn is whole grains provide sustained energy compared to family pack loaded fries.
brownie,sauteed greens,sauteed greens is contains more protein to keep you full compared to brownie.
small butter naan,oats upma,oats upma is lower in saturated fat and calories compared to small butter naan.
extra cheese fried chicken,steamed nuts mix (unsalted),steamed nuts mix (unsalted) is baked or steamed instead of deep-fried compared to extra cheese fried chicken.
fried chicken,no sugar paneer tikka,no sugar paneer tikka is whole grains provide sustained energy compared to fried chicken.
extra cheese bhatura,buttermilk,buttermilk is whole grains provide sustained energy compared to extra cheese bhatura.
bhujia,cucumber salad,cucumber salad is less sugar and better for blood glucose control compared to bhujia.
bhel puri,roasted chana,roasted chana is contains more protein to keep you full compared to bhel puri.
tortilla chips,baked sweet potato,baked sweet potato is includes more vegetables and micronutrients compared to tortilla chips.
cheesecake,low-oil tandoori chicken,low-oil tandoori chicken is lower in saturated fat and calories compared to cheesecake.
small cola,grilled baked fish,grilled baked fish is lower sodium content supports heart health compared to small cola.
popcorn butter,baked fish,baked fish is lower sodium content supports heart health compared to popcorn butter.
loaded shawarma,no sugar plain dosa,no sugar plain dosa is includes more vegetables and micronutrients compared to loaded shawarma.
pizza,millet roti,millet roti is less sugar and better for blood glucose control compared to pizza.
ramen with pork,grilled tandoori chicken,grilled tandoori chicken is includes more vegetables and micronutrients compared to ramen with pork.
maggi noodles,no butter dal fry (less oil),no butter dal fry (less oil) is fermented or dairy option aids digestion compared to maggi noodles.
butter hakka noodles,light herbal tea,light herbal tea is baked or steamed instead of deep-fried compared to butter hakka noodles.
pakora,herbal tea,herbal tea is reduced oil and lighter on the stomach compared to pakora.
momos fried,tandoori chicken,tandoori chicken is lower in saturated fat and calories compared to momos fried.
